Var1,Var2,dice1,dice2,avg_dice,avg_dice_Z
1,7PL,0.9467005076142132,0.8735632183908046,0.9101318630025089,1.6314591996947065
1,7Pm,0.9467005076142132,0.8842105263157894,0.9154555169650014,1.7017698466629487
1,8Ad,0.9467005076142132,0.893970893970894,0.9203357007925537,1.7662234878380985
1,8Av,0.9467005076142132,0.7980295566502463,0.8723650321322298,1.1326645125985766
1,8BL,0.9467005076142132,0.7214076246334311,0.8340540661238222,0.6266833152841788
1,8BM,0.9467005076142132,0.9054441260744985,0.9260723168443559,1.8419882142557737
1,8C,0.9467005076142132,0.832,0.8893502538071065,1.3569920014386778
1,9-46d,0.9467005076142132,0.7635658914728682,0.8551331995435407,0.905079980189952
1,9a,0.9467005076142132,0.5957446808510638,0.7712225942326385,-0.20314549585960998
1,9m,0.9467005076142132,0.9131238447319778,0.9299121761730955,1.8927020652259676
1,9p,0.9467005076142132,0.64,0.7933502538071067,0.08909928029136731
1,A1,0.9467005076142132,0.6993006993006993,0.8230006034574562,0.4806978480116893
1,a10p,0.9467005076142132,0.5454545454545454,0.7460775265343793,-0.5352418323948104
1,a24,0.9467005076142132,0.8654970760233918,0.9060987918188025,1.5781935580520985
1,a24pr,0.9467005076142132,0.7210884353741497,0.8338944714941814,0.6245755145627648
1,a32pr,0.9467005076142132,0.9333333333333333,0.9400169204737733,2.026157604266427
1,A4,0.9467005076142132,0.8081841432225064,0.8774423254183599,1.1997214209383098
1,a47r,0.9467005076142132,0.6971428571428572,0.8219216823785351,0.4664483044423518
1,A5,0.9467005076142132,0.7537091988130564,0.8502048532136348,0.8399902464505689
1,a9-46v,0.9467005076142132,0.7601809954751131,0.8534407515446631,0.8827274541618559
1,AAIC,0.9467005076142132,0.8201438848920863,0.8834221962531498,1.2786988657803018
1,AIP,0.9467005076142132,0.8058823529411765,0.8762914302776948,1.184521300400258
1,AVI,0.9467005076142132,0.8985507246376812,0.9226256161259472,1.796466893913653
1,d23ab,0.9467005076142132,0.6962962962962963,0.8214984019552547,0.4608579485290037
1,d32,0.9467005076142132,0.9382716049382716,0.9424860562762424,2.0587680137609565
1,DVT,0.9467005076142132,0.7953667953667953,0.8710336514905043,1.1150806810910736
1,EC,0.9467005076142132,0.9186046511627907,0.9326525793885019,1.928895161994951
1,FEF,0.9467005076142132,0.7951807228915663,0.8709406152528898,1.1138519314194661
1,FFC,0.9467005076142132,0.8050314465408805,0.8758659770775469,1.1789022481538365
1,FOP1,0.9467005076142132,0.5289256198347108,0.737813063724462,-0.644392376570715
1,FOP2,0.9467005076142132,0.8,0.8733502538071066,1.145676547914127
1,FOP3,0.9467005076142132,0.8301886792452831,0.8884445934297481,1.3450307493523836
1,FOP4,0.9467005076142132,0.8203753351206434,0.8835379213674284,1.2802272723432995
1,FOP5,0.9467005076142132,0.8367346938775511,0.8917176007458821,1.3882580634397608
1,FST,0.9467005076142132,0.72,0.8333502538071066,0.6173879141027465
1,H,0.9467005076142132,0.908675799086758,0.9276881533504856,1.8633289157629196
1,i6-8,0.9467005076142132,0.6702702702702703,0.8084853889422418,0.2889922768686457
1,IFJa,0.9467005076142132,0.7544910179640718,0.8505957627891425,0.8451530735902875
1,IFJp,0.9467005076142132,0.7466666666666667,0.8466835871404399,0.7934841253732062
1,IFSa,0.9467005076142132,0.546031746031746,0.7463661268229795,-0.5314302260902557
1,IFSp,0.9467005076142132,0.6949152542372882,0.8208078809257506,0.4517380882466354
1,Ig,0.9467005076142132,0.6878306878306878,0.8172655977224506,0.40495438939552547
1,IP0,0.9467005076142132,0.8275862068965517,0.8871433572553824,1.3278450423318433
1,IP1,0.9467005076142132,0.835509138381201,0.8911048229977071,1.3801649754544258
1,IP2,0.9467005076142132,0.7980769230769231,0.8723887153455682,1.1329773019090459
1,IPS1,0.9467005076142132,0.8780487804878049,0.912374644051009,1.6610800930959604
1,LBelt,0.9467005076142132,0.5838509316770186,0.7652757196456159,-0.2816871521352544
1,LIPd,0.9467005076142132,0.4482758620689655,0.6974881848415894,-1.1769717559117687
1,LIPv,0.9467005076142132,0.6830985915492958,0.8148995495817545,0.37370548090101835
1,LO1,0.9467005076142132,0.65,0.7983502538071066,0.15513535951778842
1,LO2,0.9467005076142132,0.6746987951807228,0.810699651397468,0.31823651905292866
1,LO3,0.9467005076142132,0.784,0.8653502538071066,1.040018821151851
1,MBelt,0.9467005076142132,0.54216867469879515,0.7444345911565042,-0.5569404345502605
1,MI,0.9467005076142132,0.8928571428571429,0.919778825235678,1.7588687121594784
1,MIP,0.9467005076142132,0.7787610619469026,0.8627307847805579,1.0054229283181844
1,MST,0.9467005076142132,0.6174496644295302,0.7820750860218717,-0.059814294340029286
1,MT,0.9467005076142132,0.64,0.7933502538071067,0.08909928029136731
1,OFC,0.9467005076142132,0.9205882352941176,0.9336443714541653,1.941993973879809
1,OP1,0.9467005076142132,0.6960352422907489,0.8213678749524811,0.45913405022973464
1,OP2-3,0.9467005076142132,0.7543859649122807,0.850543236263247,0.8444593444251828
1,OP4,0.9467005076142132,0.8571428571428571,0.9019216823785352,1.5230255720651131
1,p10p,0.9467005076142132,0.7209302325581395,0.8338153700861763,0.6235308051935763
1,p24,0.9467005076142132,0.8372093023255814,0.8919549049698974,1.391392191547328
1,p24pr,0.9467005076142132,0.7745664739884393,0.8606334908013262,0.9777235140434565
1,p32,0.9467005076142132,0.9,0.9233502538071066,1.8060373401783514
